Year,Title,Character(s),Actor,Notes,Country,Identity
1999,Better Than Chocolate,Francis,Ann-Marie MacDonald,"Frances is a lesbian separatist who owns a bookstore.
Maggie, the film's protagonist, is in a relationship with Kim.",Canada,Lesbian
1977,Rituals,Maggie,Karyn Dwyer,,Canada,Lesbian
1977,A Special Day,Kim,Christina Cox,,"Italy, Canada",Lesbian
1999,But I'm a Cheerleader,Megan Bloomfield,Natasha Lyonne,"Megan is the 17-year-old protagonist. Her parents send her to True Directions, a conversion therapy camp that aims to convert its campers to heterosexuality. She eventually meets Graham, another camper at True Directions.
Graham starts a relationship with Megan, with both having sex.
Sinead and Hilary are campers.
In the True Directions orientation video which depicts homosexuality as a problem to be ""fixed"", Kelly is a girl shown to be a lesbian until ""cured"" by the organization.
The lipstick lesbian character makes a brief cameo and is referred to as ""Lipstick Lesbian"" in the film's credits.",United States,Lesbian
1978,The Betsy,Graham Eaton,Clea DuVall,,United States,Lesbian
1978,The Big Sleep,Sinead Laren,Katharine Towne,,"United States, United Kingdom",Lesbian
1978,Bloodbrothers,Hilary Vandermuller,Melanie Lynskey,,United States,Lesbian
1978,California Suite,Kelly,Ione Skye (uncredited),,United States,Lesbian
1978,A Different Story,Lipstick Lesbian,Julie Delpy,,United States,Lesbian
1999,The Deep End of the Ocean,"Candace ""Candy"" Bliss",Whoopi Goldberg,Candy is a detective investigating the disappearance of Ben.,United States,Lesbian
1999,Election,Tammy Metzler,Jessica Campbell,"Tammy is a closeted lesbian. Early in the film she is dumped by her girlfriend, Lisa Flanagan, for her brother. She later runs a nihilistic campaign for class president with the intent to dismantle the student government, and get revenge on her brother. She falsely confesses to ripping down campaign posters, resulting in her expulsion and transfer to a Catholic girls school. Her story ends happily, as she meets her next love, Jennifer, at the school. (Early on in the film, Tammy gives a narration where she says, ""it's not like I'm a lesbian or anything, I'm attracted to the person. It's just that all the people I've ever been attracted to happen to be girls."")",United States,Lesbian
1999,Limbo,Frankie,Kathryn Grody,Frankie and Lou are a couple and businesswomen.,United States,Lesbian
1978,Nighthawks,Lou,Rita Taggart,,United Kingdom,Lesbian
1999,Tea with Mussolini,Georgina 'Georgie' Rockwell,Lily Tomlin,Georgina is an archeologist.,"United Kingdom, Italy",Lesbian
1999,Tempting Heart,Chen-Li,Karen Mok,"Chen-Li is Xiao-rou's best friend, whom Xiao-rou confides in.",Hong Kong,Lesbian
1999,Why Not Me?,Camille,Amira Casar,,"France, Spain, Switzerland",Lesbian
1979,Hot Potato,Ariane,Alexandra London,,Italy,Lesbian
1979,Saint Jack,Eva,Julie Gayet,,United States,Lesbian
2000,Best in Show,Christy Cummings,Jane Lynch,,United States,Lesbian
1979,To Forget Venice,Sherri Ann Ward Cabot,Jennifer Coolidge,,Italy,Lesbian
2000,Dr. T & the Women,Dee Dee Travis,Kate Hudson,Dee Dee is Dr. T's closeted daughter who is in a secret relationship with Marilyn.,"United States, Germany",Lesbian
1980,Cruising,Marilyn,Liv Tyler,,United States,Lesbian
2000,Miss Congeniality,Karen Krantz (Miss New York),Melissa De Sousa,,United States,Lesbian
2000,Sordid Lives,Bitsy Mae Harling,Olivia Newton-John,"Bitsy is an ex-con, and honky-tonk singer and guitar player.",United States,Lesbian
2000,Spacked Out,Sissy,Christy Cheung,Sissy and Bean Curd are a couple.,Hong Kong,Lesbian
1980,The Last Married Couple in America,Bean Curd,Maggie Poon,,United States,Lesbian
2000,Things You Can Tell Just by Looking at Her,Lilly,Valeria Golino,,United States,Lesbian
1980,Life and Death,Christine Taylor,Calista Flockhart,,Norway,Lesbian
2000,Time and Tide,Ah Jo,Cathy Tsui,Cathy is a policewoman.,Hong Kong,Lesbian
2000,What's Cooking?,Carla,Julianna Margulies,,"United Kingdom, United States",Lesbian
1980,Nijinsky,Rachel Seelig,Kyra Sedgwick,,United States,Lesbian
2001,Blow Dry,Sandra,Rachel Griffiths,Sandra operates a hairdressing shop with her domestic partner.,"United States, United Kingdom, Germany",Lesbian
2001,Jesus Christ Vampire Hunter,Mary Magnum,Mary Moulton,,Canada,Lesbian
1980,Stir Crazy,Maxine Shreck,Murielle Varhelyi,,United States,Lesbian
2001,Lost and Delirious,Pauline Oster,Piper Perabo,,Canada,Lesbian
1980,Taxi zum Klo,"Victoria ""Tori"" Moller",Jessica Paré,,West Germany,Lesbian
2001,Mulholland Drive,Betty Elms,Naomi Watts,,"France, United States",Lesbian
1981,"Butcher, Baker, Nightmare Maker",Rita,Laura Elena Harring,,United States,Lesbian
2002,The Hours,Sally Lester,Allison Janney,"Sally is in a long-term relationship with Clarissa, who pines for ""a long-lost romance with Richard.""","United Kingdom, United States",Lesbian
2002,Kiss the Bride,Amy Kayne,Alyssa Milano,,United States,Lesbian
1981,Mad Max 2,"Antonia ""Toni"" Sposato",Monet Mazur,,Australia,Lesbian
2002,May,Ambrosia,Nichole Hiltz,,United States,Lesbian
1981,The Woman Next Door,Polly,Anna Faris,,France,Lesbian
2003,Gigli,Ricki/Rochelle,Jennifer Lopez,,United States,Lesbian
2003,Monster,Aileen Wuornos,Charlize Theron,"The film tells the story of serial killer Aileen Wuornos, a street prostitute who, after being brutally raped and beaten by a john, murdered seven of her male clients between 1989 and 1990.
Based on Wuornos's real-life girlfriend Tyria Moore, Selby is Wuornos' semi-fictionalized lover.",United States,Lesbian
1982,The Clinic,Selby Wall,Christina Ricci,,Australia,Lesbian
2003,Something's Gotta Give,Zoe,Frances McDormand,Erica's sister and feminist women's studies professor who disapproves of her sister's relationship with playboy socialite Harry Sanborn.,United States,Lesbian
2003,Under the Tuscan Sun,Grace,Kate Walsh,Patti is Frances' best friend and is expecting a child with her partner Grace.,United States,Lesbian
1982,Drifting,Patti,Sandra Oh,,Israel,Lesbian
2004,Butterfly,Flavia,Josie Ho,"Flavia is a married high school teacher, who meets a beautiful free-spirited female singer-songwriter named Yip and develops a relationship with the younger girl.",Hong Kong,Lesbian
1982,Forty Deuce,Yip,Tian Yuan,,United States,Lesbian
2004,D.E.B.S,Lucy Diamond,Jordana Brewster,,United States,Lesbian
2004,Eulogy,Judy Arnolds,Famke Janssen,Lucy and her girlfriend Judy are criticized throughout the movie because of their relationship.,United States,Lesbian
1982,Luc or His Share of Things,Lucy Collins,Kelly Preston,,Canada,Lesbian
2004,My Summer of Love,Tamsin,Emily Blunt,The film explores the romantic relationship between two young women from different classes and backgrounds.,United Kingdom,Lesbian
2004,Saving Face,"Willhelmina ""Wil"" Pang",Michelle Krusiec,"Wil, a closeted hospital surgeon, falls in love with Vivian, but is afraid that her traditional Chinese family will find out her secret.
Vivian, a ballet dancer, wants Wil to stop being afraid of what others may think about them.",United States,Lesbian
1982,Night Shift,Vivian Shing,Lynn Chen,,United States,Lesbian
2004,She Hate Me,Fatima Goodrich,Kerry Washington,Fatima is Jack's ex-fiancée who came out as a lesbian and now wants a child.,United States,Lesbian
1982,Privates on Parade,Alex Guerrero,Dania Ramirez,,United Kingdom,Lesbian
2005,Imagine Me & You,Luce,Lena Headey,,"Germany, United Kingdom",Lesbian
2005,Red Doors,Julie Wong,Elaine Kao,,United States,Lesbian
1982,The Year of Living Dangerously,Mia Scarlett,Mia Riverton,,"United States, Australia",Lesbian
2005,Rent,Joanne Jefferson,Tracie Thoms,,United States,Lesbian
2005,Russian Dolls,Isabelle,Cécile de France,"Isabelle, a financial expert and television commentator, helps her friend Xavier by posing as his fiancée.","France, United Kingdom",Lesbian
2005,Sin City,Lucille,Carla Gugino,Marv's parole officer.,United States,Lesbian
2005,V for Vendetta,Valerie Page,Natasha Wightman,,"Germany, United Kingdom, United States",Lesbian
2006,Bug,R.C.,Lynn Collins,R.C. is Agnes' friend and co-worker at the lesbian bar.,United States,Lesbian
2006,Gray Matters,Gray Baldwin,Heather Graham,,United States,Lesbian
2006,In Her Line of Fire,Lynn Delaney,Mariel Hemingway,"Sergeant Major Delaney is an openly lesbian Secret Service agent guarding the VP of the United States. She's an ex-Marine and friend of the VP, and served with him during Operation Desert Storm. Lynn and Sharon fall for each other.
Air Force Two, the alternate version of the film distributed outside of the United States, deleted all references to Delaney's lesbianism including the two kiss scenes between her and Sharon.",United States,Lesbian
1983,To Be or Not to Be,Sharon Serrano,Jill Bennett,,United States,Lesbian
2006,Loving Annabelle,Annabelle Tillman,Erin Kelly,"Annabelle in an emotionally mature student that transfers to a strict Catholic boarding school in her senior high school year after being expelled from two previous schools. She falls in love with her poetry teacher, Simone.
Simone is a closeted teacher who resists Annabelle's flirtations and advances, but falls in love with her. After the suicide of her lover, Amanda, she repressed her sexual orientation; and instead of dealing with the pain and loss, she uses a male teacher from another school as a beard.",United States,Lesbian
1984,Another Country,Simone Bradley,Diane Gaidry,,United Kingdom,Lesbian
2006,Notes on a Scandal,Barbara Covett,Judi Dench,Barbara is a closeted teacher.,United Kingdom,Lesbian
2006,Smokin' Aces,Sharice Watters,Taraji P. Henson,Sharice and Georgia are partners and contract killers who work together on assignments.,"United States, United Kingdom, France",Lesbian
1984,Horror Vacui,Georgia Sykes,Alicia Keys,,West Germany,Lesbian
2006,Tell No One (Ne le dis à personne),Anne Beck,Marina Hands,Anne and Hélène are married. Anne is Alex's sister.,France,Lesbian
1984,The Hotel New Hampshire,Hélène Perkins,Kristin Scott Thomas,,"United States, United Kingdom, Canada",Lesbian
2007,88 Minutes,Shelly Barnes,Amy Brenneman,Shelly is the assistant of forensic psychiatrist Jack Gramm.,"United States, Canada, Germany",Lesbian
2007,Across the Universe,Prudence,T.V. Carpio,,"United Kingdom, United States",Lesbian
2007,After Sex,Kat,Zoe Saldaña,A college student. Kat admits to her roommate Nikki that she's a lesbian but hides it from her parents.,United States,Lesbian
2007,Dolls,Iska,Marie Doležalová,"After graduating from high school, Iska and her friends go on a trip where she develops an attraction to her friend Karolina, and hooks up with a much older woman named Hanka.",Czech Republic,Lesbian
2007,Feast of Love,Jenny,Stana Katic,"Jenny is a shortstop in a women's softball team and the woman that Kathryn leaves her husband for.
(The film follows the love lives of several couples.)",United States,Lesbian
2007,The Jane Austen Book Club,Allegra,Maggie Grace,,United States,Lesbian
2007,Planet Terror,Tammy Visan,Fergie (as Stacy Ferguson),,United States,Lesbian
2007,Steam,Elizabeth,Kate Siegel,Elizabeth is a first-year college student who is beginning to understand her sexual orientation. She spends a night with a female classmate.,United States,Lesbian
2007,Wrong Turn 2: Dead End,Amber Williams,Daniella Alonso,"Amber is an Army war veteran and contestant in a survivalist reality television show. When Matt Jones is being obnoxious, she says to him: ""You don't get it, do you? I'm not into men!""",United States,Lesbian
2008,Dim Sum Funeral,Dede,Bai Ling,,"United States, Canada",Lesbian
1985,"Adiós, Roberto",Meimei,Steph Song,,Argentina,Lesbian
2008,Milk,Anne Kronenberg,Alison Pill,Anne is Harvey Milk's campaign manager in his run for a seat on the Board of Supervisors.,United States,Lesbian
2008,Sunshine Cleaning,Lynn,Mary Lynn Rajskub,,United States,Lesbian
2008,The Women,Alex Fish,Jada Pinkett Smith,Alex and Natasha are exes.,United States,Lesbian
1985,Buddies,Natasha,Natasha Alam,,United States,Lesbian
2009,Boogie Woogie,Elaine,Jaime Winstone,,United Kingdom,Lesbian
2009,Cracks,"Miss ""G"" Gribben",Eva Green,Miss G is the school's enigmatic diving instructor.,"United Kingdom, Ireland",Lesbian
1985,Colonel Redl,Di Redfield,Juno Temple,,West Germany,Lesbian
2009,I Am Love,Elisabetta Recchi,Alba Rohrwacher,,Italy,Lesbian
2009,Life Blood,Brooke Anchel,Sophie Monk,"Brooke and Rhea are a couple. After Brooke kills a rapist, they are driving on the highway when Brooke disappears in a sudden sandstorm. A supernatural entity appears before Rhea and offers her immortality, but she refuses to spend eternity without Brooke, and Rhea dies. Forty years later, they both awaken from the dead and return to life as vampires.",United States,Lesbian
1985,Mishima: A Life in Four Chapters,Rhea Cohen,Anya Lahiri,,United States,Lesbian
2009,Precious,Ms. Blu Rain,Paula Patton,Ms. Raines is a teacher at the Reach One Teach One alternative school.,United States,Lesbian
2009,The Private Lives of Pippa Lee,Trish,Robin Weigert,Trish is Pippa's aunt. Her girlfriend Kat is a photographer of erotica and S&M.,United States,Lesbian
1985,A Nightmare on Elm Street 2: Freddy's Revenge,Kat,Julianne Moore,,United States,Lesbian
2010,Black Swan,Lily / Black Swan / Odile,Mila Kunis,,United States,Lesbian
2010,Kaboom,Lorelei,Roxane Mesquida,,United States,Lesbian
1985,Spies Like Us,Stella,Haley Bennett,,United States,Lesbian
2010,The Kids Are All Right,Nicole 'Nic' Allgood,Annette Bening,"To conceive a child, Nic used the same sperm donor as Jules, her spouse. Their teenage son wants to find out about his biological father and his older sister helps him find the contact information, which leads to an unexpected turmoil in their marriage when Jules meets the father.",United States,Lesbian
2010,Scott Pilgrim vs. the World,"Roxanne ""Roxy"" Richter",Mae Whitman,Roxy was Ramona's college roommate.,"United Kingdom, United States, Japan",Lesbian
2010,Sex and the City 2,Erin,Alice Eve,"Erin is the Irish nanny for Charlotte's child. They nicknamed her ""Erin Go Braless"".",United States,Lesbian
2010,Yes or No,Kim,Suppanad Jittaleela,"Kim is the first butch character in a lesbian-related Thai film.
Pie comes out after meeting Kim and getting to know her.",Thailand,Lesbian
1986,Caravaggio,Pie,Sushar Manaying,,United Kingdom,Lesbian
2011,Cloudburst,Stella,Olympia Dukakis,"Stella and Dot are an elderly couple in Maine who have been together for decades. Dot is in poor health and Stella has been taking care of her. The only one who is clueless that they are lesbians in a relationship is Dot's granddaughter. After she convinces the frail Dot to sign a power-of-attorney and relocate to an assisted living facility, Stella breaks into the home and she and Dot flee to Nova Scotia where same-sex marriage is legal.","Canada, United States",Lesbian
1986,The Decline of the American Empire,Dot,Brenda Fricker,,Canada,Lesbian
2011,Love Actually... Sucks!,Policewoman,Lareine Xu,"The film tells the story of six real-life court cases, including LGBT relationships. One is a role-playing lesbian couple.",Hong Kong,Lesbian
1986,The Morning After,Policewoman's girl,Celia Chang,,United States,Lesbian
2011,Our Idiot Brother,Cindy Harris,Rashida Jones,,United States,Lesbian
2011,Pariah,Alike,Adepero Oduye,Alike is a 17-year-old Black teenager embracing her identity as a lesbian.,United States,Lesbian
2011,The Perfect Family,Shannon Cleary,Emily Deschanel,"Shannon marries her girlfriend Angela, but her Catholic mother refuses to accept her.",United States,Lesbian
1986,Tough Guys,Angela Rayes,Angelique Cabral,,United States,Lesbian
2011,The Skin I Live In,Cristina,Bárbara Lennie,"Cristina is a salesgirl in the dress shop. Her co-worker, Vicente, was infatuated with her.",Spain,Lesbian
2011,Your Sister's Sister,Hannah,Rosemarie DeWitt,,United States,Lesbian
2012,Jack & Diane,Diane,Juno Temple,"Diane meets fellow teenager Jack, a skateboarding butch girl. Jack becomes instantly smitten by Diane. Jack takes Diane to a night club, where they kiss passionately.",United States,Lesbian
1987,The Heart Exposed,Jack,Riley Keough,,Canada,Lesbian
2012,Love Is Not Perfect,Adriana,Lorena Cacciatore,Adriana is realizing her sexual orientation and preference for women.,Italy,Lesbian
2013,Blue Is the Warmest Colour,Emma,Léa Seydoux,"After her previous relationship ends, Emma enters into a relationship with Lise.",France,Lesbian
1987,Law of Desire,Lise,Mona Walravens,,Spain,Lesbian
2013,Chinese Puzzle,Isabelle,Cécile de France,Isabelle and Ju are a couple with a child. Isabelle later cheats on Ju with the young woman who babysits for them.,"France, Belgium",Lesbian
1987,Maurice,Ju,Sandrine Holt,,United Kingdom,Lesbian
2013,Concussion,Abby Ableman,Robin Weigert,"Abby and Kate are a married couple. Unbeknownst to Kate, Abby prostitutes herself to numerous women.",United States,Lesbian
1987,Maurice,Kate,Julie Fain Lawrence,,United Kingdom,Lesbian
2013,The Hot Flashes,Ginger Peabody,Daryl Hannah,"Middle-aged, closeted Ginger comes out with the help of her friends on the basketball team.",United States,Lesbian
2013,The Nun,Abbess Saint Eutrope,Isabelle Huppert,,"France, Belgium, Germany",Lesbian
2013,Riddick,Dahl,Katee Sackhoff,A mercenary bounty hunter and the crew's sniper.,"United States, Canada",Lesbian
2014,Appropriate Behavior,Crystal,Halley Feiffer,,United Kingdom,Lesbian
2014,A Girl at My Door,Lee Young-nam,Bae Doona,"Young-nam is a police officer. After a scandal involving her private life, she is transferred from Seoul to a station in a small coastal village. To protect a troubled girl who has been the victim of bullying and domestic abuse, she takes her into her home.",South Korea,Lesbian
2014,Girltrash: All Night Long,Misty Monroe,Mandy Musgrave,The film prequel to the Girltrash! web series.,United States,Lesbian
1987,Withnail and I,Daisy Robson,Lisa Rieffel,,United Kingdom,Lesbian
1988,The Fruit Machine,Colby Robson,Gabrielle Christian,,United Kingdom,Lesbian
1988,The Fruit Machine,Sid,Kate French,,United Kingdom,Lesbian
2014,The Humbling,Pegeen Mike Stapleford,Greta Gerwig,"After a lifetime of lesbianism and female lovers, Pegee gives up women to be with Simon Axler, a once-legendary actor twice her age whom she has admired since childhood.",United States,Lesbian
2014,Julia,Julia,Ashley C. Williams,,United States,Lesbian
2014,Life Partners,Sasha Weiss,Leighton Meester,Sasha is a struggling musician with a string of bad dates.,United States,Lesbian
2014,Lyle,Leah,Gaby Hoffmann,Leah and June are a young couple moving into a new home suffer a guilt and grief filled journey to losing their child.,United States,Lesbian
1988,Torch Song Trilogy,June,Ingrid Jungermann,,United States,Lesbian
2014,Never,Nikki,Zelda Williams,,United States,Lesbian
2014,Pride,"Stephanie ""Steph"" Chambers",Faye Marsay,"Stephanie is a founder of the Lesbians and Gays Support the Miners alliance.
Stella is a militant member of LGSM.
Zoe is Stella's girlfriend.",United Kingdom,Lesbian
1989,Apartment Zero,Stella,Karina Fernandez,,"United Kingdom, Argentina",Lesbian
1989,Coming Out,Zoe,Jessie Cave,,East Germany,Lesbian
2014,The Taking of Deborah Logan,Sarah Logan,Anne Ramsay,Sarah becomes the caregiver for her ailing mother and tries to protect her from a demonic possession.,United States,Lesbian
2014,Tammy,Lenore,Kathy Bates,"Tammy and Pearl stay at the home of Pearl's cousin Lenore and her wife, Susanne.",United States,Lesbian
1989,Fun Down There,Susanne,Sandra Oh,,United States,Lesbian
2014,This Is Where I Leave You,Hilary Altman,Jane Fonda,,United States,Lesbian
1989,Getting It Right,Linda,Debra Monk,,"United Kingdom, United States",Lesbian
2015,3 Generations,Dolly,Susan Sarandon,"Dolly is Ray's grandmother, a quick-witted music manager who shares her brownstone with her life partner, Frances.",United States,Lesbian
1989,Longtime Companion,Frances,Linda Emond,,United States,Lesbian
2015,Addicted to Fresno,Martha,Natasha Lyonne,,United States,Lesbian
1989,Longtime Companion,Kelly,Aubrey Plaza,,United States,Lesbian
2015,Carol,Carol Aird,Cate Blanchett,"Carol was always attracted to females, but married as was expected of her social status and the post-World War II era. While in divorce proceedings, she meets Therese and comes out publicly after her love affair with her is exposed.
Therese realizes she is gay after she meets Carol and falls in love with her.
(The film is based on The Price of Salt by Patricia Highsmith.)","United Kingdom, United States",Lesbian
1989,Looking for Langston,Therese Belivet,Rooney Mara,,United Kingdom,Lesbian
2015,Dope,"Cassandra ""Diggy"" Andrews",Kiersey Clemons,Diggy can be seen wearing masculine clothing.,United States,Lesbian
2015,Freeheld,Laurel Hester,Julianne Moore,"Real life story of police officer Laurel Hester who, after being diagnosed with terminal cancer, fought the Ocean County, New Jersey Board of Chosen Freeholders so that her pension benefits could be transferred to her domestic partner Stacie.",United States,Lesbian
1990,Miller's Crossing,Stacie Andree,Elliot Page [a],,United States,Lesbian
2015,Grandma,Elle Reid,Lily Tomlin,"Elle is a poet coping with the recent death of her long-term life partner. She ends a four-month relationship with a younger admirer, Olivia.",United States,Lesbian
1990,Miller's Crossing,Olivia,Judy Greer,,United States,Lesbian
2015,Skin Deep,Caitlin Davies,Monica Zanetti,"Caitlin is a university student struggling with suicidal thoughts after the relationship with her girlfriend ends. She meets a young woman by chance who has terminal cancer, and they set out together on a whirlwind 'bucket list' adventure.",Australia,Lesbian
2015,While You Weren't Looking,Dez,Sandi Schultz,Dez is a real estate developer. Terri takes care of their household. The mixed-race couple have been together for twenty years and live in suburban Cape Town with their adopted teenage daughter.,South Africa,Lesbian
1991,The Adjuster,Terri,Camilla Waldman,,Canada,Lesbian
2016,Allied,Bridget Vatan,Lizzy Caplan,,"United Kingdom, United States",Lesbian
2016,Catfight,Lisa,Alicia Silverstone,"Ashley is struggling to sell her artwork, straining the relationship with her girlfriend Lisa.",United States,Lesbian
1991,The Fisher King,Ashley Miller,Anne Heche,,United States,Lesbian
2016,Center of My World,Pascal,Nina Proll,,Germany,Lesbian
1991,The Hours and Times,Tereza,Inka Friedrich,,United States,Lesbian
2016,First Girl I Loved,Anne Smith,Dylan Gelula,,United States,Lesbian
1991,JFK,Sasha Basanez,Brianna Hildebrand,,United States,Lesbian
2016,The Handmaiden,Izumi Hideko / Lady,Kim Min-hee,"Set in 1930's Korea, Sook-hee is a pickpocket hired as the maid of Lady Hideko, a young Japanese heiress, in a scheme designed to convince her into marrying a con man posing as a count and afterwards have her committed to an asylum. They fall in love and turn the tables on the conspirators.
(Based on the 2002 historical crime novel Fingersmith by Sarah Waters.)",South Korea,Lesbian
1991,My Own Private Idaho,Nam Sook-hee / Maid,Kim Tae-ri,,United States,Lesbian
2016,"I, Olga Hepnarová",Olga Hepnarová,Michalina Olszańska,,Czech Republic,Lesbian
2016,The Intervention,Jessie,Clea DuVall,Jessie and Sarah are a couple.,United States,Lesbian
1991,Queens Logic,Sarah,Natasha Lyonne,,United States,Lesbian
2016,Mother's Day,Gabi,Sarah Chalke,"Gabi and Max are married, but Gabi has not come out to her parents because they're homophobic.",United States,Lesbian
1992,Being at Home with Claude,Max,Cameron Esposito,,Canada,Lesbian
2016,The Neon Demon,Ruby,Jena Malone,,"Denmark, France, United States",Lesbian
2016,Spidarlings,Eden,Sophia Disgrace,Eden and Matila are a couple trying to get by.,United Kingdom,Lesbian
1992,The Living End,Matilda,Rahel Kapsaski,,United States,Lesbian
2016,Their Finest,Phyl Moore,Rachael Stirling,"Phyl is the Ministry of Information liaison keeping an eye on the screenwriters and coordinating the development of the film script. She wears button-down shirt and tie, jacket and tailored pants. She says to Catrin Cole, ""I've never much seen the point in men""; and when one of the screenwriters asks who else the girls in the story are going to fall in love with she responds, ""each other?""",United Kingdom,Lesbian
2017,Allure,Laura Drake,Evan Rachel Wood,,Canada,Lesbian
2017,Anchor and Hope,Eva,Oona Chaplin,,"Spain, United Kingdom",Lesbian
1992,Peter's Friends,Kat,Natalia Tena,,United Kingdom,Lesbian
2017,Atomic Blonde,Delphine Lasalle,Sofia Boutella,"Delphine is a young undercover French agent. She meets MI6 secret agent Lorraine in a bar, and they kiss passionately. Later they have sex, which evolves into a romantic relationship.
The emotionally intimate post-sex scene between Delphine and Lorraine was deleted in the final cut but included in the DVD/Blu-ray bonus features under the title ""Not Afraid of Love"".",United States,Lesbian
2017,Battle of the Sexes,Billie Jean King,Emma Stone,"Biopic about champion tennis player King during the time of the famous tennis match between her and Bobby Riggs. She starts to explore her sexuality when she meets Bennett, a hairdresser. King falls in love with Bennett and has an affair with her.","United Kingdom, United States",Lesbian
1992,Swoon,Marilyn Bennett,Andrea Riseborough,,United States,Lesbian
2017,The Carmilla Movie,Carmilla Karnstein,Natasha Negovanlis,"Carmilla and Laura are romantic partners.
Based on the web series of the same name, the movie takes place five years after 330 year-old vampire Carmilla became human.",Canada,Lesbian
1993,Blue,Laura Hollis,Elise Bauman,,United Kingdom,Lesbian
1993,Even Cowgirls Get the Blues,Elle Sheridan,Dominique Provost-Chalkley,,United States,Lesbian
1993,Farewell My Concubine,Danny Lawrence,Sharon Belle,,British Hong Kong,Lesbian
2017,Disobedience,Esti Kuperman,Rachel McAdams,"As a teenager, Esti had a forbidden romance with Ronit, the daughter of a rabbi. Because of Orthodox religious expectations and obligations, Esti married a man but always remained sexually attracted to females. Years later, following Roni's return to London, Esti comes to terms with her sexual orientation and separates from her husband.","United States, Ireland, United Kingdom",Lesbian
2017,My Days of Mercy,Lucy Moro,Elliot Page [b],Lucy feels betrayed after learning that Mercy has a boyfriend.,"United States, United Kingdom",Lesbian
2017,The Party,Martha,Cherry Jones,Martha and Jinny are a couple.,United Kingdom,Lesbian
1993,M. Butterfly,Jinny,Emily Mortimer,,United States,Lesbian
2017,Power Rangers,Trini Kwan/Yellow Ranger,Becky G,The first LGBT superhero in a high-budget film.,United States,Lesbian
2017,Princess Cyd,Katie,Malic White,Katie works as a barista.,United States,Lesbian
2017,Return to Return to Nuke 'Em High AKA Volume 2,Lauren,Catherine Corcoran,Lauren and Chrissy are a secret couple.,United States,Lesbian
1993,Philadelphia,Chrissy,Asta Paredes,,United States,Lesbian
2017,Rough Night,Frankie,Ilana Glazer,Frankie is an activist and organizer of political protests.,United States,Lesbian
2017,Signature Move,Zaynab,Fawzia Mirza,Zaynab is a Pakistani American lawyer who wants to be a lucha libre wrestler.,United States,Lesbian
2017,Song to Song,Zoey,Bérénice Marlohe,Zoey is a wealthy French artist living in the US.,United States,Lesbian
2017,Thelma,Thelma,Eili Harboe,"Thelma discovers that she has an inexplicable power that materializes when she feels desire for Anja, a fellow student at her university.",Norway,Lesbian
1994,"The Adventures of Priscilla, Queen of the Desert",Anja,Kaya Wilkins,,Australia,Lesbian
2017,To the Bone,Judy,Lili Taylor,Judy is Ellen's mother.,United States,Lesbian
2017,"You, Me and Him",Olivia,Lucy Punch,,United Kingdom,Lesbian
1994,Der bewegte Mann,Alex,Faye Marsay,,Germany,Lesbian
2018,Blockers,Sam Lockwood,Gideon Adlon,Sam has a crush on Angelica. She comes out to her father and friends. Then kisses Angelica at their senior prom.,United States,Lesbian
1994,Drunken Master III,Angelica,Ramona Young,,Hong Kong,Lesbian
2018,Can You Ever Forgive Me?,Lee Israel,Melissa McCarthy,The film follows Israel's attempts to revitalize her failing writing career by forging letters from deceased authors and playwrights.,United States,Lesbian
2018,Diamantino,Lucia,Maria Leite,Lucia is a Secret Service agent disguised as a nun.,"Portugal, France, Brazil",Lesbian
2018,The Favourite,"Anne, Queen of Great Britain",Olivia Colman,"The plot examines the relationship between Queen Anne and cousins Abigail Masham and Sarah Churchill, who are both vying to be the court favourite.","United Kingdom, Ireland, United States",Lesbian
1994,A Man of No Importance,Abigail Masham,Emma Stone,,"United Kingdom, Ireland",Lesbian
2018,Hearts Beat Loud,"Samantha Lee ""Sam"" Fisher",Kiersey Clemons,Sam secretly writes a song about her relationship with Rose.,United States,Lesbian
1994,Oh! My Three Guys,Rose,Sasha Lane,,British Hong Kong,Lesbian
2018,JT LeRoy,Eva,Diane Kruger,Eva is an actress and director. She has an affair with Savannah Knoop (bisexual).,"Canada, United States, United Kingdom",Lesbian
2018,Knife+Heart,Anne Parèze,Vanessa Paradis,,"France, Mexico, Switzerland",Lesbian
1994,Prêt-à-Porter,Lois McKenna,Kate Moran,,United States,Lesbian
2018,The Miseducation of Cameron Post,Cameron Post,Chloë Grace Moretz,Cameron is sent to a gay conversion therapy centre by her aunt for having sex with her girlfriend Coley.,"United Kingdom, United States",Lesbian
1994,Priest,Coley Taylor,Quinn Shephard,,United Kingdom,Lesbian
2018,The Perfection,Charlotte Willmore,Allison Williams,,United States,Lesbian
1994,Reality Bites,"Elizabeth ""Lizzie"" Wells",Logan Browning,,United States,Lesbian
2018,The Professor,Olivia Brown,Odessa Young,Olivia is the daughter of professor Brown.,United States,Lesbian
2018,Rafiki,Kena,Samantha Mugatsia,,Kenya,Lesbian
1994,Trevor,Ziki,Sheila Munyiva,,United States,Lesbian
2018,Ready Player One,"Helen ""H"" Harris",Lena Waithe,,United States,Lesbian
2018,Vice,Mary Cheney,Alison Pill,"After Mary comes out as lesbian, former vice president Dick Cheney decides to retire from public life to spare her from media scrutiny.",United States,Lesbian
