Year,Title,Character(s),Actor,Notes,Country,Ref(s)
2000,The Broken Hearts Club,Kevin,Andrew Keegan,,United States,[290][291]
2000,The Broken Hearts Club,Marshall,Justin Theroux,,United States,[290][291]
2000,The Broken Hearts Club,Patrick,Ben Weber,,United States,[290][291]
2000,The Broken Hearts Club,Taylor,Billy Porter,,United States,[290][291]
2000,Chuck & Buck,Buck O'Brien,Mike White,,United States,[292]
2000,Lavender,Chow Chow,Eason Chan,,Hong Kong,[293][better source needed]
2000,The Next Best Thing,Robert Whittaker,Rupert Everett,"Robert is Abbie's best friend, who she decides to have a child with.",United States,[294]
2000,Sexy Beast,Teddy Bass,Ian McShane,,"United Kingdom, Spain",[295]
2000,Traffic,"Francisco ""Frankie Flowers"" Flores",Clifton Collins Jr.,,United States,[296]
2000,28 Days,Dutch Gerhardt,Alan Tudyk,,United States,[297]
2000,Urbania,Charlie,Dan Futterman,,United States,[298]
2000,Urbania,Chris,Matt Keeslar,,United States,[298]
2000,Urbania,Brett,Alan Cumming,,United States,[298]
2000,Wonder Boys,James Leer,Tobey Maguire,,"United States, United Kingdom, Germany, Japan",[299]
2001,Blow,Derek Foreal,Paul Reubens,,United States,[300]
2001,The Deep End,Beau Hall,Jonathan Tucker,Beau is a high school senior dating a 30-year-old club owner.,United States,[301]
2001,Gypsy 83,Clive Webb,Kett Turton,Clive is a young goth who joins his friend Gypsy on a road trip to see a Stevie Nicks tribute in New York City.,United States,[302]
2001,Hedwig and the Angry Inch,Luther Robinson,Maurice Dean Wint,,United States,[303]
2001,Josie and the Pussycats,Wyatt Frame,Alan Cumming,Wyatt is a record producer.,United States,[304]
2001,Kissing Jessica Stein,Martin,Michael Mastro,,United States,[305][306]
2001,Kissing Jessica Stein,Sebastian,Carson Elrod,,United States,[305][306]
2001,Lan Yu,Lan Yu,Liu Ye,The story of an affair between a young man and a middle-aged man. Set in mainland China.,"China, Hong Kong",[307]
2001,Lan Yu,Chen Handong,Hu Jun,,"China, Hong Kong",[307]
2001,Legally Blonde,Enrique Salvatore,Greg Serano,,United States,[308]
2001,L.I.E.,Howie Blitzer,Paul Dano,"Howie is discovering his sexual orientation.
Gary is a hustler who becomes a friend of Howie.
Big John is Gary's client and a pedophile.",United States,[309][310]
2001,L.I.E.,Gary Terrio,Billy Kay,,United States,[309][310]
2001,L.I.E.,Big John Harrigan,Brian Cox,,United States,[309][310]
2001,The Man Who Wasn't There,Creighton Tolliver,Jon Polito,,"United Kingdom, United States",[311]
2001,The Mexican,Leroy,James Gandolfini,,United States,[312]
2001,Saving Silverman,J.D McNugent,Jack Black,,United States,[313]
2001,Shake It All About,Jørgen,Troels Lyby,"Jacob asks Jørgen to marry him, and he happily accepts. However, Jacob falls in love with another woman.",Denmark,[314]
2001,Wet Hot American Summer,McKinley,Michael Ian Black,McKinley and Ben are camp counselors and lovers.,United States,[315][316]
2001,Wet Hot American Summer,Ben,Bradley Cooper,,United States,[315][316]
2002,Bend It Like Beckham,Tony,Ameet Chana,,"United Kingdom, United States, Germany, India",[317]
2002,Boat Trip,Lloyd Faversham,Roger Moore,Brian and Michael are boyfriends.,United States,[318][319]
2002,Boat Trip,Brian,Artie Lange,,United States,[318][319]
2002,Boat Trip,Michael,Will Ferrell,,United States,[318][319]
2002,Dahmer,Jeffrey Dahmer,Jeremy Renner,The story of the real-life serial killer of the same name.,United States,[320]
2002,Far from Heaven,Frank Whitaker,Dennis Quaid,,United States,[321][322]
2002,Friday After Next,Damon Pearly,Terry Crews,Damon is a newly released ex-convict who developed homosexual tendencies in prison.,United States,[323]
2002,The Hours,Richard Brown,Ed Harris,Richard is a moody poet and author living with AIDS.,"United Kingdom, United States",[324][325]
2002,Sweet Home Alabama,Bobby Ray,Ethan Embry,,United States,[326]
2002,Unconditional Love,Dirk,Rupert Everett,,United States,[327]
2002,Unconditional Love,Victor Fox,Jonathan Pryce,,United States,[327]
2003,American Wedding,Bear,Eric Allan Kramer,,United States,[328]
2003,Arisan!,Nino,Surya Saputra,The first Indonesian film to feature a same-sex kiss.,Indonesia,[329]
2003,Arisan!,Sakti,Tora Sudiro,,Indonesia,[329]
2003,Bright Young Things,Miles Maitland,Michael Sheen,,United Kingdom,[330]
2003,Latter Days,Christian Markelli,Wes Ramsey,Christian makes a bet with his friends that he can seduce a neighbor (Aaron) who is a Mormon missionary.,United States,[331]
2003,Latter Days,Aaron Davis,Steve Sandvoss,,United States,[331]
2003,Mambo Italiano,Angelo Barberini,Luke Kirby,"Angelo is the openly gay son of Italian immigrants. Nino is boyfriend, who is not out to his parents.",Canada,[332]
2003,Mambo Italiano,Nino Paventi,Peter Miller,,Canada,[332]
2003,Party Monster,Michael Alig,Macaulay Culkin,,United States,[333]
2003,Party Monster,James St. James,Seth Green,,United States,[333]
2004,The 24th Day,Dan,James Marsden,"Tom has been diagnosed with HIV and believes he infected his late wife with the AIDS virus. He had only one sexual encounter with a man, Dan, and thinks that it was he who transmitted the disease to him. Tom kidnaps Dan with the intent to kill him.",United States,[334][335]
2004,Alexander,Hephaistion,Jared Leto,Alexander has relationships with childhood friends Hephaistion and Bagoas.,"Germany, France, Italy, Netherlands, United Kingdom, United States",[336]
2004,Alexander,Bagoas,Francisco Bosch,,"Germany, France, Italy, Netherlands, United Kingdom, United States",[336]
2004,Bad Education,Enrique Goded,Fele Martínez,,Spain,[337]
2004,Bad Education,Father Manolo,Daniel Giménez Cacho,,Spain,[337]
2004,Bad Education,Ignacio Rodriguez,Francisco Boira,,Spain,[337]
2004,Brother to Brother,Perry,Anthony Mackie,Black art student Perry is thrown out by his parents for his homosexuality and is further disturbed by a potential romantic entanglement with a white boy in his class.,United States,[338]
2004,Enter the Phoenix,Georgie Hung Chi Kit,Daniel Wu,"Georgie lives as a cook with his boyfriend Frankie, is uninterested to continue his father's work.",Hong Kong,[339]
2004,Formula 17,Chou T'ien Tsai,Tony Yang,"Chou is looking for romance as he takes a trip to the capital, Taipei, to visit an online boyfriend in person for the first time. Disappointed to find that his online friend only wants sex and has no interest in forming a romantic bond, he starts to look elsewhere, finding his internet relationship. T'ien's roommate and friends help him look for the man of his dreams.
The film was banned in Singapore because it ""portrays homosexuality as normal, and a natural progression of society"".",Taiwan,[340]
2004,Formula 17,Bai Tieh Nan/Richard Bai,Duncan Lai,,Taiwan,[340]
2004,Formula 17,Yu,King Chin,,Taiwan,[340]
2004,Formula 17,Jun,Jason Chang,,Taiwan,[340]
2004,Formula 17,C.C.,Dada Ji,,Taiwan,[340]
2004,Formula 17,Alan,James Yun,,Taiwan,[340]
2004,Formula 17,Ray,Jeff Locker,,Taiwan,[340]
2004,Formula 17,Kevin,Ladder Yu,,Taiwan,[340]
2004,Hellbent,Joey,Hank Harris,,United States,[341]
2004,A Home at the End of the World,Jonathan Glover,Harris Allan / Dallas Roberts,Bobby finds a new home with his childhood friend Jonathan. The two boys come of age together and discover their sexuality.,United States,[342]
2004,A Home at the End of the World,Bobby Morrow,Colin Farrell,,United States,[342]
2004,Leave Me Alone,Yiu Chun Man,Ekin Cheng,Yiu is a fashion designer who has a boyfriend.,Hong Kong,[343]
2004,Leave Me Alone,Man's boyfriend,Jan Lamb,,Hong Kong,[343]
2004,Mean Girls,Damian,Daniel Franzese,,United States,[344]
2004,Mysterious Skin,Neil McCormick,Joseph Gordon-Levitt,Neil is the son of an irresponsible single mother who is already discovering his own homosexuality. He is sexually abused by the Little League baseball coach.,"Netherlands, United States",[345]
2004,Rice Rhapsody,Daniel,Alvin Chiang,,"Hong Kong, Singapore",[346]
2004,Rice Rhapsody,Harry,Craig Toh,,"Hong Kong, Singapore",[346]
2004,Saved!,Dean,Chad Faust,"Dean is sent away by his parents to be ""degayified"".
Mitch is Dean's boyfriend.",United States,[347][348]
2004,Saved!,Mitch,Kett Turton,,United States,[347][348]
2004,Somersault,Richard,Erik Thomson,,Australia,[349]
2004,Stage Beauty,George Villiers,Ben Chaplin,"Villiers, the Duke of Buckingham, is the lover of Kynaston.","Germany, United Kingdom, United States",[350]
2004,The Stepford Wives,Roger Bannister,Roger Bart,Roger and his long-time partner Jerry are residents of Stepford.,United States,[351]
2004,The Stepford Wives,Jerry Harmon,David Marshall Grant,,United States,[351]
2004,Touch of Pink,Alim,Jimi Mistry,"Alim and Giles are in an open relationship, but Alim is not out to his Muslim mother and family. When Alim's mother announces that she is going to be visiting him, he and Giles must pretend that they are only roommates, which begins to strain their relationship.","Canada, United Kingdom",[352][353]
2004,Touch of Pink,Giles,Kris Holden-Ried,,"Canada, United Kingdom",[352][353]
2005,Be Cool,Elliot Wilhelm,Dwayne Johnson,Elliot is Raji's Samoan bodyguard.,United States,[354]
2005,The Blossoming of Maximo Oliveros,"Maximo ""Maxi"" Oliveros",Nathan Lopez,A teenage effeminate gay boy who gets infatuated with a police officer who rescued him from harassment.,Philippines,[355]
2005,Brokeback Mountain,Randall Malone,David Harbour,Randall has an affair with Jack.,United States,[356][357][358]
2005,Capote,Truman Capote,Philip Seymour Hoffman,The film follows the events during the writing of Capote's book In Cold Blood.,"United States, Canada",[359]
2005,Capote,Jack Dunphy,Bruce Greenwood,,"United States, Canada",[359]
2005,C.R.A.Z.Y.,Zachary Beaulieu,Marc-André Grondin,,Canada,[360]
2005,Cursed,Bo,Milo Ventimiglia,,United States,[361][362]
2005,The Dying Gaul,Robert Sandrich,Peter Sarsgaard,,United States,[363]
2005,The Family Stone,Thad Stone,Tyrone Giordano,"Thad is deaf and is the youngest son in the Stone family. He and his partner, Patrick, have an adopted son.",United States,[364]
2005,The Family Stone,Patrick Thomas,Brian J. White,,United States,[364]
2005,Happy Endings,Charley Peppitone,Steve Coogan,Charlie runs a restaurant. Gil is his partner.,United States,[365]
2005,Happy Endings,Gil Palmer,David Sutcliffe,,United States,[365]
2005,Kinky Boots,Simon / Lola,Chiwetel Ejiofor,"A man who is a drag queen performer, with Simon as his alter ego.",United Kingdom,[366]
2005,Kiss Kiss Bang Bang,"Perry Van Shrike/""Gay Perry""",Val Kilmer,,United States,[367]
2005,Loggerheads,George,Michael Kelly,,United States,[368]
2005,Loggerheads,Mark,Kip Pardue,,United States,[368]
2005,Monster-in-Law,Remy,Adam Scott,Remy is Charlie's neighbor and best friend.,United States,[369]
2005,My Fair Son,Ray,Junrui Wang,,China,[370]
2005,My Fair Son,Unnamed student,Guifeng Wang,,China,[370]
2005,Rent,"Thomas B. ""Tom"" Collins",Jesse L. Martin,,United States,[371][372]
2005,Rent,Angel Dumott Schunard,Wilson Jermaine Heredia,,United States,[371][372]
2005,Tides of War,Frank Habley,Adrian Paul,"Cmdr. Habley and Lt. Cmdr. Palatonio (Frank's executive officer) are partners serving on the same submarine. Tom is killed in a battle and Frank must continue to serve on the same vessel.
Released in theaters as Phantom Below with the gay theme excluded. The original gay version was broadcast by the Here network.",United States,[373][374][375]
2005,Tides of War,Tom Palatonio,Mike Doyle,,United States,[373][374][375]
2005,V for Vendetta,Gordon Deitrich,Stephen Fry,,"Germany, United Kingdom, United States",[376]
2005,Wedding Crashers,Todd Cleary,Keir O'Donnell,"Todd is the hunchbacked brother of Claire who aggressively comes on to Jeremy. A GQ review described the character as an inexcusably unfunny riff on the old ""predatory gay man"" trope.",United States,[377]
2006,Another Gay Movie,Griff,Mitch Morris,,United States,[378]
2006,Another Gay Movie,Nico Hunter,Jonah Blechman,,United States,[378]
2006,Another Gay Movie,Jarod,Jonathan Chase,,United States,[378]
2006,Another Gay Movie,Andy Wilson,Michael Carbonaro,,United States,[378]
2006,The Architect,Shawn,Paul James,,United States,[379]
2006,The Architect,Martin Waters,Sebastian Stan,,United States,[379]
2006,Boy Culture,"Alex ""X""",Derek Magyar,,United States,[380]
2006,Boy Culture,Andrew,Darryl Stephens,,United States,[380]
2006,Boy Culture,Joey,Jonathon Trent,,United States,[380]
2006,Boy Culture,Gregory Talbot,Patrick Bauchau,,United States,[380]
2006,The Bubble,Ashraf,Yousef 'Joe' Sweid,,Israel,[381]
2006,The Bubble,Noam,Ohad Knoller,,Israel,[381]
2006,The Bubble,Yali,Alon Friedman,,Israel,[381]
2006,Confetti,Archie,Vincent Franklin,,United Kingdom,[382]
2006,Confetti,Gregory,Jason Watkins,,United Kingdom,[382]
2006,Crank,Kaylo,Efren Ramirez,Kaylo is Chev Chelios' informant.,United States,[383][384]
2006,Eternal Summer,Jonathan,Bryant Chang,"Jonathan, a studious schoolboy, is asked by his teacher to look after another boy, Shane, who is rebellious and dislikes learning. Ten years on, they have developed a good friendship despite their divergent lives: Jonathan on course to go to university and Shane to become a basketball player. Jonathan is also attracted to Shane, but the attraction is not reciprocated. However, the young men's fates change when a girl, Carrie, has a secret affair with Shane (who is determined to keep it secret in order to protect Jonathan's feelings) and also does her best to persuade Shane to abandon basketball and instead work hard to try to enter university.",Taiwan,[385]
2006,The History Boys,Douglas Hector,Richard Griffiths,Based on the play of the same name.,United Kingdom,[386]
2006,The History Boys,Tom Irwin,Stephen Campbell Moore,,United Kingdom,[386]
2006,The History Boys,David Posner,Samuel Barnett,,United Kingdom,[386]
2006,Infamous,Truman Capote,Toby Jones,The time of author Capote's life during which he researched and wrote In Cold Blood.,United States,[387]
2006,Let's Go to Prison,Barry,Chi McBride,,United States,[388]
2006,Let's Go to Prison,Nelson Biederman IV,Will Arnett,,United States,[388]
2006,Little Miss Sunshine,Frank Ginsberg,Steve Carell,"Frank, an unemployed scholar of Proust, is temporarily living with his sister's family after having attempted suicide.",United States,[389]
2006,The Night Listener,Gabriel Noone,Robin Williams,"Gabriel is a popular gay New York City radio show host, is dealing with a separation from his partner, Jess.",United States,[390]
2006,The Night Listener,Jess,Bobby Cannavale,,United States,[390]
2006,No Regret,Lee Su-min,Lee Yeong-hoon,,South Korea,[391]
2006,No Regret,Song Jae-min,Kim Nam-gil,,South Korea,[391]
2006,Poseidon,Richard Nelson,Richard Dreyfuss,Nelson is an architect and one of the survivors.,United States,[392]
2006,Running with Scissors,Neil Bookman,Joseph Fiennes,Augusten and Neil begin an erratic sexual relationship.,United States,[393]
2006,Running with Scissors,Augusten Burroughs,Joseph Cross,,United States,[393]
2006,Scenes of a Sexual Nature,Billy,Ewan McGregor,,United Kingdom,[394]
2006,Scenes of a Sexual Nature,Brian,Douglas Hodge,,United Kingdom,[394]
2006,Shortbus,James,Paul Dawson,James and Jamie are a couple. James wants to introduce other men into their relationship for sex.,Canada,[395][396]
2006,Shortbus,Jamie,PJ DeBoy,,Canada,[395][396]
2006,Talladega Nights: The Ballad of Ricky Bobby,Jean Girard,Sacha Baron Cohen,Jean is a French Formula One driver and Bobby's archrival.,United States,[397]
2007,Breakfast with Scot,Eric McNally,Tom Cavanagh,,Canada,[398]
2007,Breakfast with Scot,Sam,Ben Shenkman,,Canada,[398]
2007,Breakfast with Scot,Scot,Noah Bernett,,Canada,[398]
2007,I Now Pronounce You Chuck & Larry,Fred Duncan,Ving Rhames,,United States,[399]
2007,Love Songs,Erwann,Grégoire Leprince-Ringuet,"Ismaël, Julie, and Alice are in a ménage-à-trois. After a tragedy strikes and breaks them apart, the characters learn to deal with loss and mourning. Ismaël unexpectedly finds love again with a young man named Erwann.",France,[400]
2007,Shelter,Shaun,Brad Rowe,,United States,[401]
2007,Stardust,Captain Shakespeare,Robert De Niro,Captain Shakespeare is a sky pirate.,"United States, United Kingdom",[402]
2007,The Walker,Carter Page III,Woody Harrelson,"A middle-aged gay male escort living in Washington, D. C.","United States, United Kingdom",[403]
2008,Brideshead Revisited,Anthony Blanche,Joseph Beattie,,United Kingdom,[404]
2008,Brideshead Revisited,Lord Sebastian Flyte,Ben Whishaw,,United Kingdom,[404]
2008,Brideshead Revisited,Charles Ryder,Matthew Goode,,United Kingdom,[404]
2008,Death Race,"Joseph ""Machine Gun Joe"" Mason",Tyrese Gibson,,United States,[405]
2008,Doubt,Donald Miller,Joseph Foster,,United States,[406]
2008,Dream Boy,Nathan Davies,Stephan Bender,,United States,[407]
2008,Dream Boy,Roy,Maximillian Roeg,,United States,[407]
2008,Hamlet 2,Rand Posin,Skylar Astin,A drama student in love with his drama teacher.,United States,[408]
2008,Little Ashes,Salvador Dalí,Robert Pattinson,An unconsummated sexual attraction between Dali and Lorca (whose homosexuality was known).,"United Kingdom, Spain",[409][410][411]
2008,Little Ashes,Federico García Lorca,Javier Beltrán,,"United Kingdom, Spain",[409][410][411]
2008,Mamma Mia!,Harry Bright,Colin Firth,"Harry tells Donna: ""You were the first woman I ever loved, and also the last.""","Germany, United Kingdom, United States",[412][413]
2008,Milk,Harvey Milk,Sean Penn,"Milk is the first openly gay person to be elected to public office in California, as a member of the San Francisco Board of Supervisors.
Smith and Lira are Milk's lovers.",United States,"[414][415][416]
[417]"
2008,Milk,Cleve Jones,Emile Hirsch,,United States,"[414][415][416]
[417]"
2008,Milk,Jack Lira,Diego Luna,,United States,"[414][415][416]
[417]"
2008,Milk,Scott Smith,James Franco,,United States,"[414][415][416]
[417]"
2008,Nick & Norah's Infinite Playlist,Beefy Guy (Lethario),Jonathan B. Wright,,United States,[418]
2008,Nick & Norah's Infinite Playlist,Dev,Rafi Gavron,,United States,[418]
2008,Nick & Norah's Infinite Playlist,Thom,Aaron Yoo,,United States,[418]
2008,RocknRolla,Handsome Bob,Tom Hardy,Bob is a gangster.,"United States, United Kingdom, France",[419][420]
2008,Sex Drive,Rex Lafferty,James Marsden,,United States,[421]
2008,Tropic Thunder,Alpa Chino,Brandon T. Jackson,"Cino is a closeted rapper who is attempting to cross over into acting, portraying a soldier named Motown, while promoting his ""Bust-A-Nut"" candy bar and ""Booty Sweat"" energy drink.","United States, Germany, United Kingdom",[422]
2008,Zack and Miri Make a Porno,Brandon St. Randy,Justin Long,,United States,[423]
2009,44 Inch Chest,Meredith,Ian McShane,Meredith is a suave gambler.,United Kingdom,[424]
2009,Brüno,Brüno Gehard,Sacha Baron Cohen,A flamboyantly gay fashion reporter from Austria.,"United States, United Kingdom",[425]
2009,Cirque du Freak: The Vampire's Assistant,Mr. Tiny,Michael Cerveris,,United States,[426]
2009,Horsemen,Corey Kurth,Patrick Fugit,,United States,[427]
2009,I Killed My Mother,Hubert Minel,Xavier Dolan,,Canada,[428]
2009,"I Love You, Man",Robbie Klaven,Andy Samberg,Robbie is Peter's brother.,United States,[429]
2009,I Love You Phillip Morris,Phillip Morris,Ewan McGregor,"While incarcerated, Steve falls in love with his fellow inmate, Morris.","France, United States",[430]
2009,I Love You Phillip Morris,Steven Russell,Jim Carrey,,"France, United States",[430]
2009,Permanent Residence,Ivan,Sean Li,"Ivan seeks a long-term relationship with a straight friend. Befriending another young man, Windson, at a public sports club, the two build up a friendly rapport. However, Windson becomes aware of his inclination, and while happy to remain his friend, is initially very reluctant to become emotionally involved with him.
This is the first feature film directed by award-winning Chinese LGBT filmmaker known as 'Scud'.",Hong Kong,[431]
2009,Shank,Cal,Wayne Virgo,,United Kingdom,[432]
2009,Shank,Olivier,Marc Laurent,,United Kingdom,[432]
2009,Shank,Scott,Garry Summers,,United Kingdom,[432]
2009,Shank,Jonno,Tom Bott,,United Kingdom,[432]
2009,A Single Man,George Falconer,Colin Firth,"In 1962, George dreams that he encounters the body of his longtime partner, Jim, at the scene of the car accident that took his life.",United States,[433]
2009,A Single Man,Jim,Matthew Goode,,United States,[433]
2009,Soundless Wind Chime,Ricky,Lu Yulai,"An interracial love story, told through a linear narrative and a series of complex, interlocking flashbacks. Ricky, who has arrived in Hong Kong from mainland China, works as a delivery boy. He is robbed by a Swiss thief, Pascal, who admits his crime and returns the stolen item. The two eventually embark on a love affair, but through several flashbacks, it eventually becomes clear that Pascal has subsequently been killed in a road accident near their flat, which Ricky had witnessed. Some years later, Ricky visits Pascal's former home in Switzerland to find it abandoned. During his time there, he meets Pascal's doppelgänger in a man called Ueli, who nevertheless has a very different personality. They, too, fall in love and the contentment that Ricky finds enables him to reflect on the relationship he had with Pascal.","Hong Kong, Switzerland, China",[434]
2009,Soundless Wind Chime,Pascal,Bernhard Bulling,,"Hong Kong, Switzerland, China",[434]
2009,Soundless Wind Chime,Ueli,Bernhard Bulling,,"Hong Kong, Switzerland, China",[434]
2009,Taking Woodstock,Elliot Teichberg/Tiber,Demetri Martin,,United States,[435]
2009,Undertow,Santiago,Manolo Cardona,"Miguel is married to Mariela, who is pregnant with their first son, but he also has a secret affair with a male painter called Santiago.","Peru, Colombia, France, Germany",[436]
2010,Amphetamine,Daniel,Thomas Price,"Daniel, an openly-gay wealthy Chinese-Australian investment banker working in Hong Kong meets and befriends Kafka, a young swimming instructor from a poor local family, who has strong religious beliefs. Kafka was sexually assaulted as a teenager by a male gang after successfully defending a young woman from being raped, and as a result, he has become impotent and a habitual user of recreational drugs. Although initially uncomfortable with Daniel's obvious sexual attraction to him, he soon sees Daniel as offering him new hope in life, and he falls deeply in love with him. But Kafka's life begins to fall apart again when his mother dies suddenly, and he attempts to end his life.",Hong Kong,[437]
2010,Beginners,Hal,Christopher Plummer,"Shortly after his wife's death, Hal comes out to his son and begins exploring life as an openly gay man.",United States,[438]
2010,Burlesque,Sean,Stanley Tucci,A wisecracking man who works in a strip club.,United States,[439]
2010,Death at a Funeral,Frank Lovett,Peter Dinklage,A dwarf in love with the late father of the protagonist.,"United States, United Kingdom",[440]
2010,Dirty Girl,Clarke Walters,Jeremy Dozier,,United States,[441]
2010,Easy A,Brandon,Dan Byrd,,United States,[442]
2010,Every Day,Jonah Freed,Ezra Miller,,United States,[443]
2010,For Colored Girls,Carl Bradmore,Omari Hardwick,,United States,[444]
2010,Howl,Allen Ginsberg,James Franco,Ginsberg is a central figure of the Beat Generation. Fellow poet Orlovsky is Ginsberg's life partner for over forty years.,United States,[445]
2010,Howl,Peter Orlovsky,Aaron Tveit,,United States,[445]
2010,Kaboom,Oliver,Brennan Mejia,,United States,[446]
2010,The Last Exorcism,Logan,Logan Craig Reid,,United States,[447]
2010,Little White Lies,Vincent,Benoît Magimel,,France,[448]
2010,Scott Pilgrim vs. the World,"Scott aka ""Other Scott""",Ben Lewis,"Ben is Wallace's gay best friend.
Wallace is Scott's gay roommate, who has a boyfriend named Scott. He also hooked up with Stacey's boyfriend Jimmy.","United Kingdom, United States, Japan",[449][450]
2010,Scott Pilgrim vs. the World,Stephen Stills,Mark Webber,,"United Kingdom, United States, Japan",[449][450]
2010,Scott Pilgrim vs. the World,Wallace Wells,Kieran Culkin,,"United Kingdom, United States, Japan",[449][450]
2010,Valentine's Day,Sean Jackson,Eric Dane,"Sean comes out on national television, and Holden, Sean's lover, goes back to him",United States,[451]
2010,Valentine's Day,Holden Wilson,Bradley Cooper,,United States,[451]
2011,Bernie,Bernie Tiede,Jack Black,"Bernie is a closeted, yet flamboyant mortician who befriends a mean elderly widow.",United States,[452]
2011,The Best Exotic Marigold Hotel,Graham Dashwood,Tom Wilkinson,,United Kingdom,[453]
2011,The Broken Tower,Hart Crane,James Franco,Biopic about the American poet.,United States,[454][455][456]
2011,The Broken Tower,Emile Opffer,Michael Shannon,,United States,[454][455][456]
2011,The Guard,Garda Aidan McBride,Rory Keenan,,"Ireland, United Kingdom",[457]
2011,J. Edgar,J. Edgar Hoover,Leonardo DiCaprio,,United States,[458]
2011,Just Go With It,Ian Maxtone-Jones,Dave Matthews,,United States,[459]
2011,The Ledge,Chris,Christopher Gorham,,United States,[460]
2011,Love Actually... Sucks!,Bridesman,Ryo van Kooten,"Inspired by real-life events, the film tells a series of interconnected stories, several with LGBT relationships. The opening wedding banquet reveals a sex affair between the bridegroom and a bridesman. Other stories include a married painter who falls in love with his young male life model, a dance school teacher who becomes involved with his senior student, and a role-playing lesbian couple.",Hong Kong,[461][462]
2011,Love Actually... Sucks!,Model,Tang Wei,,Hong Kong,[461][462]
2011,Love Actually... Sucks!,Painter,John Tai,,Hong Kong,[461][462]
2011,North Sea Texas,Pim,Jelle Florizoone,,Belgium,[463]
2011,Tinker Tailor Soldier Spy,Peter Guillam,Benedict Cumberbatch,Peter is a spy.,United Kingdom,[464]
2011,The Unkabogable Praybeyt Benjamin,Private Benjamin Santos VIII,Vice Ganda,A gay man who joins the military to save his grandfather,Philippines,[465]
2011,Weekend,Russell,Tom Cullen,,United Kingdom,[466]
2011,Weekend,Glen,Chris New,,United Kingdom,[466]
2012,Celeste and Jesse Forever,Scott,Elijah Wood,,United States,[467]
2012,Cloud Atlas,Rufus Sixsmith,James D'Arcy,Rufus is Robert's lover.,"Germany, United States",[468]
2012,"For a Good Time, Call...",Jesse,Justin Long,,United States,[469]
2012,Four,Joe,Wendell Pierce,,United States,[470]
2012,Ginger & Rosa,Mark,Timothy Spall,,"United Kingdom, Denmark, Canada",[471]
2012,Ginger & Rosa,Mark II,Oliver Platt,,"United Kingdom, Denmark, Canada",[471]
2012,Hit and Run,Terry Rathbinn,Jess Rowland,,United States,[472]
2012,On the Road,Tall thin salesman,Steve Buscemi,,"France, United Kingdom, Mexico, Brazil, United States, Canada",[473][474]
2012,The Paperboy,Ward Jansen,Matthew McConaughey,"Ward is not resented by his brother Jack for being a homosexual, but for keeping it a secret from him.",United States,[475]
2012,The Perks of Being a Wallflower,Brad,Johnny Simmons,,United States,[476]
2012,The Perks of Being a Wallflower,Patrick,Ezra Miller,,United States,[476]
2012,Rock of Ages,Lonny Barnett,Russell Brand,,United States,[477][478]
2012,Rock of Ages,Dennis Dupree,Alec Baldwin,,United States,[477][478]
2012,Sassy Pants,Chip Hardy,Haley Joel Osment,Chip is Dale's boyfriend.,United States,[479][480]
2012,Sassy Pants,Dale Pinto,Diedrich Bader,,United States,[479][480]
2012,Speechless,Luke,Pierre-Matthieu Vital,,"Hong Kong, China",[481]
2012,Struck by Lightning,Nicholas Forbes,Carter Jenkins,,United States,[482][better source needed]
2012,Struck by Lightning,Scott Thomas,Graham Rogers,,United States,[482][better source needed]
2012,Ted,Guy,Patrick Warburton,,United States,[483][better source needed]
2012,Ted,Jared,Ryan Reynolds,,United States,[483][better source needed]
2013,After the Dark,Jack,Freddie Stroma,,"Indonesia, United States",[484]
2013,The Amazing Praybeyt Benjamin,Private Benjamin Santos VIII,Vice Ganda,,Philippines,[485]
2013,Baggage Claim,Sam,Adam Brody,,United States,[486]
2013,The Bling Ring,Marc Hall,Israel Broussard,,"United States, United Kingdom, France, Germany, Japan",[487]
2013,Blue Is the Warmest Colour,Valentin,Sandor Funtek,Valentin is Adèle's close friend.,"France, Belgium, Spain",[488]
2013,Free Fall,Kay Engel,Max Riemelt,,Germany,[489]
2013,G.B.F.,Tanner Daniels,Michael J. Willett,,United States,[490]
2013,G.B.F.,Brent Van Camp,Paul Iacono,,United States,[490]
2013,Geography Club,Russell Middlebrook,Cameron Deane Stewart,,United States,[491][492]
2013,Grown Ups 2,Kyle,Oliver Hudson,,United States,[493]
2013,Grown Ups 2,Nick,Nick Swardson,,United States,[493]
2013,Kick-Ass 2,Insect-Man,Robert Emms,"Insect-Man is an insect-themed superhero and a member of the Justice Forever team. He was bullied, inspiring him to become a superhero to stand up for the defenseless. He does not wear a mask because hiding his identity would feel like going back into the closet.","United Kingdom, United States",[494]
2013,Kill Your Darlings,Lucien Carr,Dane DeHaan,,United Kingdom,[495]
2013,The Mortal Instruments: City of Bones,Alec Lightwood,Kevin Zegers,Magnus is a warlock.,"Canada, Germany, United States, United Kingdom",[496]
2013,Philomena,Michael,Sean Mahon,,"France, United Kingdom, United States",[497]
2013,Pit Stop,Ernesto,Marcus DeAnda,,United States,[498]
2013,Pit Stop,Gabe,Bill Heck,,United States,[498]
2013,SDU: Sex Duties Unit,Hai Mai,Derek Tsang,,Hong Kong,[499]
2013,Starred Up,Neville Love,Ben Mendelsohn,Neville falls in love with his male inmate.,United Kingdom,[500]
